row_id,question,trusted_metrics,narration,label,category,note
92844b8fafd8,What is the return on this campaign?,"{""columns"": [""campaign_id"", ""did_estimate""], ""question"": ""What is the return on this campaign?"", ""row_count"": 1, ""rows"": [{""campaign_id"": 26, ""did_estimate"": ""1.51""}], ""totals"": {""campaign_id"": {""maximum"": 26.0, ""mean"": 26.0, ""minimum"": 26.0, ""n_values"": 1, ""total"": 26.0}, ""did_estimate"": {""maximum"": 1.51, ""mean"": 1.51, ""minimum"": 1.51, ""n_values"": 1, ""total"": 1.51}}}","Campaign 26 achieved a return estimate of 1.51.
For campaign ID 26, the estimated return value is 1.51.
This provides the specific return metric recorded for this campaign.
Data is limited to a single campaign ID and return estimate.",,,
737951db7634,Give an overview of these segments.,"{""columns"": [""segment"", ""households"", ""revenue""], ""question"": ""Give an overview of these segments."", ""row_count"": 2, ""rows"": [{""households"": 512, ""revenue"": ""3900000.00"", ""segment"": ""Champions""}, {""households"": 300, ""revenue"": ""1200000.00"", ""segment"": ""Loyal""}], ""totals"": {""households"": {""highest_row"": {""households"": 512.0, ""segment"": ""Champions""}, ""lowest_row"": {""households"": 300.0, ""segment"": ""Loyal""}, ""maximum"": 512.0, ""mean"": 406.0, ""minimum"": 300.0, ""n_values"": 2, ""total"": 812.0}, ""revenue"": {""highest_row"": {""revenue"": 3900000.0, ""segment"": ""Champions""}, ""lowest_row"": {""revenue"": 1200000.0, ""segment"": ""Loyal""}, ""maximum"": 3900000.0, ""mean"": 2550000.0, ""minimum"": 1200000.0, ""n_values"": 2, ""total"": 5100000.0}}}","Overview of customer segments showing household counts and revenue distribution.
The Champions segment consists of 512 households generating 3900000.00 in revenue.
This segment represents the largest portion of the customer base and revenue.
The Loyal segment comprises 300 households contributing 1200000.00 in revenue.
Understanding this group helps target engagement and retention strategies.
The analysis only covers two segments: Champions and Loyal.",,,
b4b3e5962392,How many units per basket on average?,"{""columns"": [""units"", ""baskets""], ""rows"": [{""baskets"": 300, ""units"": 900}]}","Analysis of basket units shows the recorded totals for baskets and units.
The dataset records a total of 900 units across 300 baskets.
This provides the baseline volume of items purchased relative to total shopping trips in the dataset.
The data only provides aggregate totals without individual basket distributions.",,,
681af881473d,How many transactions and promotion rows are there?,"{""columns"": [""transactions"", ""promo_rows""], ""rows"": [{""promo_rows"": 36771279, ""transactions"": 2595732}]}","Analysis of the total transaction and promotion row counts
The dataset contains 2595732 transactions and 36771279 promotion rows.
Understanding the overall volume of transactions and promotion rows provides the baseline scale for evaluating sales and promotional performance.
The data represents aggregated counts without further segmentation by product, store, or time.",,,
9e7f63cc0a29,How did revenue change?,"{""change_over_period"": {""revenue"": {""absolute_change"": 0.0, ""direction"": ""no change"", ""from_period"": 12, ""from_value"": 5000.0, ""percent_change"": 0.0, ""to_period"": 13, ""to_value"": 5000.0}}, ""columns"": [""week_no"", ""revenue""], ""period_column"": ""week_no"", ""question"": ""How did revenue change?"", ""row_count"": 2, ""rows"": [{""revenue"": ""5000.00"", ""week_no"": 12}, {""revenue"": ""5000.00"", ""week_no"": 13}], ""totals"": {""revenue"": {""maximum"": 5000.0, ""mean"": 5000.0, ""minimum"": 5000.0, ""n_values"": 2, ""total"": 10000.0}, ""week_no"": {""maximum"": 13.0, ""mean"": 12.5, ""minimum"": 12.0, ""n_values"": 2, ""total"": 25.0}}}","Revenue remained completely stable between week 12 and week 13.
Revenue was recorded as 5000.00 in week 12 and 5000.00 in week 13, showing no change.
Performance was consistent across both periods without growth or decline.
Data is limited to week 12 and week 13.",,,
1bed141b1f7b,What share of revenue does each department hold?,"{""columns"": [""department"", ""revenue""], ""notes"": [""shares of revenue are undefined because the total is 0.0""], ""question"": ""What share of revenue does each department hold?"", ""row_count"": 2, ""rows"": [{""department"": ""A"", ""revenue"": ""0.00""}, {""department"": ""B"", ""revenue"": ""0.00""}], ""totals"": {""revenue"": {""highest_row"": {""department"": ""A"", ""revenue"": 0.0}, ""lowest_row"": {""department"": ""A"", ""revenue"": 0.0}, ""maximum"": 0.0, ""mean"": 0.0, ""minimum"": 0.0, ""n_values"": 2, ""total"": 0.0}}}","Revenue shares across departments are undefined because the total revenue is 0.0.
The total revenue recorded across the 2 departments is 0.0.
Without any recorded revenue, individual departmental shares cannot be determined.
shares of revenue are undefined because the total is 0.0",,,
fde1e8d593a9,What is the reorder rate?,"{""columns"": [""reorder_rate""], ""question"": ""What is the reorder rate?"", ""row_count"": 1, ""rows"": [{""reorder_rate"": ""0.4271""}], ""totals"": {""reorder_rate"": {""maximum"": 0.43, ""mean"": 0.43, ""minimum"": 0.43, ""n_values"": 1, ""total"": 0.43}}}","The current reorder rate is 0.4271.
The overall reorder rate stands at 0.4271.
It shows the baseline proportion of customer reorders for the business.
The data is limited to a single reorder rate figure of 0.4271.",,,
b4bbefc8b294,What is the highest retention figure?,"{""columns"": [""tenure_month"", ""retention_pct""], ""rows"": [{""retention_pct"": ""100.00"", ""tenure_month"": 1}, {""retention_pct"": ""78.40"", ""tenure_month"": 2}, {""retention_pct"": ""71.20"", ""tenure_month"": 3}]}","The highest retention figure recorded is 100.00 percent, achieved at tenure month 1.
Retention starts at 100.00 percent for tenure month 1.
This establishes the baseline customer base at the beginning of the tenure period.
Data is limited to the first three tenure months.",,,
3a237b98c664,What is revenue by department?,"{""columns"": [""department"", ""revenue""], ""notes"": [""some values are NULL; they are excluded from totals and averages rather than treated as zero""], ""null_counts"": {""revenue"": 1}, ""question"": ""What is revenue by department?"", ""row_count"": 3, ""rows"": [{""department"": ""GROCERY"", ""revenue"": ""500.00""}, {""department"": ""DELI"", ""revenue"": null}, {""department"": ""MEAT"", ""revenue"": ""300.00""}], ""share_of_total"": {""measure"": ""revenue"", ""shares"": [{""department"": ""GROCERY"", ""pct_of_total"": 62.5, ""revenue"": 500.0}, {""department"": ""MEAT"", ""pct_of_total"": 37.5, ""revenue"": 300.0}], ""total"": 800.0}, ""totals"": {""revenue"": {""highest_row"": {""department"": ""GROCERY"", ""revenue"": 500.0}, ""lowest_row"": {""department"": ""MEAT"", ""revenue"": 300.0}, ""maximum"": 500.0, ""mean"": 400.0, ""minimum"": 300.0, ""n_values"": 2, ""total"": 800.0}}}","Revenue performance varies across departments with GROCERY generating the highest share and MEAT following.
GROCERY achieved a revenue of 500.00, representing 62.5 percent of the total.
It is the top performing department in terms of revenue.
MEAT recorded a revenue of 300.00, representing 37.5 percent of the total.
It contributes a smaller share of revenue compared to GROCERY.
DELI has a null value for revenue and is excluded from totals and averages.",,,
9efb2b6fc5a3,Describe the weekly figures.,"{""columns"": [""week_no"", ""revenue"", ""avg_basket""], ""rows"": [{""avg_basket"": ""30.00"", ""revenue"": ""600.00"", ""week_no"": 3}, {""avg_basket"": ""30.00"", ""revenue"": ""900.00"", ""week_no"": 4}]}","Weekly performance data shows results for week 3 and week 4.
In week 3, the revenue was 600.00 and the avg_basket was 30.00.
Provides the baseline performance for the first reported week.
In week 4, the revenue was 900.00 and the avg_basket was 30.00.
Shows the revenue change while the average basket size remained constant.
Data is limited to week 3 and week 4.",,,
